timestamp,cpu_utilization,assigned_memory
00:00.0,0.002468109,0.003250122
09:47.1,0.000384331,0.005729675
55:28.1,0.056518555,0.010421753
05:10.3,4.77E-05,0
38:14.5,0.005432129,0.001834869
00:00.0,0.000157356,0.003612518
27:41.2,0.003314972,0
26:09.8,0.000200272,0.00668335
00:00.0,0.001791,0.003368378
48:48.0,0.000812531,0.000196457
00:00.0,0.005271912,0
05:51.0,0.033813477,0
20:31.3,0.000611305,0.000282288
10:10.0,0.000218391,0.011016846
33:59.5,0,0.013015747
51:31.8,0.016967773,0
26:25.6,0.000200272,0.00668335
42:09.1,0.000400543,0.005210876
00:00.0,0.006500244,0.002449036
32:36.1,3.81E-06,0.009368896
43:42.3,0.004013062,0.005210876
35:22.4,0.001968384,0.006500244
45:28.8,0.007118225,0.002624512
02:08.7,0,0.004188538
59:10.5,0.000171661,0.003612518
17:50.8,0.015441895,0.031799316
55:50.9,0.012451172,0.011169434
58:06.2,0.000654221,0
39:51.5,0.005302429,0
13:27.5,5.34E-05,0.000163078
00:00.0,0.000331879,0.041625977
19:48.0,0.029754639,0.023284912
53:44.6,0.001234055,0
53:18.3,0.000611305,0
44:19.7,0.000183105,0.001960754
00:00.0,8.96E-05,0.002967834
03:08.0,0.015441895,0.031799316
22:53.0,0.000368118,0.005729675
28:48.3,0.003120422,0.005187988
29:16.6,0,0.007614136
15:18.6,0.004470825,0.014877319
30:57.2,0.000205994,0.003250122
40:48.1,0,0.002624512
52:44.9,0.0008564,0.005210876
00:00.0,0.004981995,0.002883911
52:55.0,0.000205994,0.003250122
11:28.4,0.000114441,0.017211914
00:00.0,8.01E-05,0
11:44.0,0.004013062,0.005210876
00:13.9,0.001396179,0.014846802
16:14.0,0.03515625,0.002605438
24:10.5,0,0
35:24.4,0.018920898,0.010620117
00:00.0,0.002952576,0
36:38.8,0.000275612,0.002605438
25:33.0,0.006385803,0
42:48.3,0.000144958,0.004234314
09:58.6,0.002296448,0.003585815
12:52.1,0.00053215,0.002624512
11:09.8,0.005439758,0.1875
59:26.8,0,0
25:03.4,0.0001688,0.00528717
41:55.6,0.000220299,0.000195503
18:04.8,0.000220299,0.003612518
45:58.5,0.000218391,0.011016846
44:57.7,0.008834839,0.014968872
00:00.0,6.10E-05,0.001752853
04:32.0,0.000378609,0
49:52.4,0.014053345,0.022583008
55:29.9,0,0
53:52.7,0.000941277,0.000403404
00:00.0,0.045410156,0.041625977
08:46.9,0.000151634,0.00668335
34:08.6,0.007118225,0.002624512
22:57.2,0.000577927,0.002475739
00:00.0,0.005134583,0
00:00.0,0.002429962,0.001562119
19:51.5,0.032470703,0.010162354
14:37.9,0.007118225,0
46:25.5,0.000301361,0.005638123
56:21.7,0,0.000231743
30:28.0,0.000156403,0.009475708
48:45.9,0.000200272,0.00668335
28:56.7,0.000106812,0.006507874
00:00.0,0.000787735,0.001562119
24:32.7,0.000182152,0.001562119
00:00.0,0.000161171,0.003082275
23:27.2,0.010940552,0
09:20.6,9.54E-05,0.008377075
47:07.0,0.000514984,0.005210876
34:55.9,0,0
02:12.3,0.006362915,0
59:01.2,0.006095886,0
46:50.2,0.031982422,0
32:04.3,0.005966187,0.002731323
23:24.9,0.000378609,0
17:40.7,0.000400543,0.002624512
03:45.2,0.000205994,0.003250122
59:28.2,0.001234055,0
02:53.1,0.005439758,0.1875
38:47.5,0.000151634,0.00668335
22:00.8,0.473632813,0.264648438
41:14.5,0.001745224,0.000227928
10:03.4,0.004257202,0.002189636
49:35.7,0.000490189,0.000385284
49:28.8,0.005401611,0.006011963
07:13.7,0.01965332,0.019989014
00:00.0,0.000120163,0
00:00.0,0.00553894,0.00390625
06:00.7,0.000151634,0.00668335
15:03.8,8.96E-05,0.002967834
20:37.0,0.013534546,0.011169434
25:49.3,0.000667572,0.004364014
02:05.1,0.000108719,0.000889778
25:47.0,0,0
34:16.6,0.002307892,0
12:37.0,0,0.004188538
41:56.1,0,0.006500244
00:15.3,0,0.002555847
00:00.0,0.000102997,0
28:48.4,0.000200272,0.00668335
13:43.4,0.000890732,0.005210876
27:14.0,0.003051758,0
47:26.9,0.000667572,0.004364014
21:49.5,0.004013062,0.005210876
01:30.5,0,0
19:38.7,0.002365112,0.005210876
00:00.0,0.019622803,0.010620117
58:39.2,0.000220299,0.000195503
42:56.3,0.000321388,0.006011963
21:01.0,0.002365112,0.005210876
00:00.0,0.069580078,0
00:00.0,0.070922852,0
56:41.2,0.006065369,0.001914978
30:51.3,0,0.004432678
00:00.0,0.004257202,0.002189636
01:21.9,0.000594139,0.010299683
40:31.7,0.000163078,0
29:15.7,0.015075684,0.006568909
00:00.0,0.047485352,0.041625977
36:56.9,0.000220299,0.000195503
28:50.0,0.004356384,0.001655579
00:21.9,0.000218391,0.011016846
00:00.0,0.004470825,0.001750946
14:03.2,0.000156403,0.009475708
20:16.0,0.001049042,0.010421753
33:23.3,0.000400543,0.002624512
49:58.9,0.004356384,0.001655579
00:00.0,0.015029907,0.012710571
04:12.0,0.003108978,0
04:58.4,0.003765106,0.007225037
08:39.3,0.004226685,0.003242493
45:03.2,0.004272461,0.017242432
00:00.0,0.00011158,0
29:13.3,0.02331543,0
21:55.8,0.00047493,0
02:28.0,0.017669678,0
50:21.3,0.000220299,0.000195503
19:59.3,0.000250816,0.005500793
04:39.7,0.000914574,0
23:21.0,0.005439758,0.1875
30:40.4,0.0008564,0.005210876
40:16.2,0.018096924,0
22:16.8,0.007759094,0.006622314
44:57.7,0.008834839,0.014968872
29:02.6,0.007919312,0.00213623
00:00.0,0.000619888,0
11:37.1,0.097900391,0.078125
00:08.3,0.012130737,0
23:43.4,0.000378609,0
43:27.6,0.000183105,0.001960754
58:33.9,0,0.004188538
19:58.9,0.000324249,0.000535011
31:33.7,0.003765106,0.007225037
13:43.4,0.000756264,0.002540588
36:28.2,0.000491142,0.002624512
00:36.5,0.026763916,0.102416992
02:26.7,0.000725746,0.007293701
42:31.0,0.000311852,0.001823425
49:07.8,0.006874084,0.001846313
49:45.0,0.003005981,0.030303955
15:11.6,0.000658035,0.008346558
00:00.0,0.000110626,0.000889778
56:54.9,0.0008564,0.005210876
00:00.0,0.00014782,0
00:00.0,0.033996582,0.007019043
37:14.6,0.000220299,0.000195503
33:30.7,0.000156403,0.009475708
02:02.1,0.006362915,0
49:34.6,0.000152588,0.005607605
22:50.6,0.000264168,0.00154686
35:55.9,0.006874084,0.001846313
32:37.0,0,0.005210876
42:45.8,0.000191689,0.002857208
19:34.7,0.012451172,0.011169434
36:11.2,0.013061523,0
46:43.3,0.002891541,0.001520157
38:46.7,0.012924194,0
02:46.4,0.004974365,0
21:11.9,0.024200439,0.010421753
02:15.4,0.001411438,0.000441551
43:01.4,0.000200272,0.00668335
00:00.0,9.73E-05,0.003494263
00:00.0,0.002761841,0.024200439
13:37.8,0,0.006500244
17:50.8,0.015441895,0.031799316
40:41.4,0,0
00:00.0,0.00239563,0.024200439
00:00.0,0.0054245,0.015625
33:30.7,0.020385742,0.003620148
19:48.9,0.004501343,0
00:00.0,0.000951767,0.000336647
41:28.7,0.007316589,0.002407074
47:01.2,0.039855957,0.045593262
28:05.9,0.097900391,0.078125
00:00.0,0.002429962,0.001562119
16:44.6,0.000157356,0.001848221
40:28.7,0.000220299,0.000195503
44:45.1,0.000144958,0.004234314
46:23.9,0,0.002624512
08:55.3,0.000518799,0.005012512
29:40.6,0.00053215,0.002624512
36:28.3,0.000443459,0.000206947
32:17.5,0.056518555,0.010421753
13:33.1,0.000230789,0.010803223
59:31.4,0.001745224,0.000227928
25:31.2,0.005958557,0
20:56.7,0.008010864,0.002624512
00:00.0,0.072143555,0.055114746
36:45.8,0.041992188,0.006904602
08:17.8,0.000427246,0.004180908
43:02.7,0.000295639,0.002876282
00:00.0,0.000954628,0.010299683
28:53.9,0.000400543,0.002624512
46:00.8,0.013763428,0
29:35.9,0.009536743,0
00:00.0,0.004211426,0.001562119
49:39.1,0.000189781,0.001562119
08:06.8,0.000576973,0.006820679
20:41.6,0.016265869,0.004394531
57:54.6,0.00053215,0.002624512
52:47.9,0.012924194,0
12:13.5,9.16E-05,0.001241684
20:16.0,0.001049042,0.010421753
25:37.2,0.000151634,0.00668335
40:11.4,0.001411438,0.000441551
17:09.5,0,0.002624512
19:01.5,0.007324219,0.003883362
29:38.1,0.000170708,0
03:51.9,0.004501343,0
45:53.0,0.00125885,0.012832642
31:05.7,0.000270844,0.000271797
01:22.8,0,0.00207901
55:56.7,0.008178711,0.003612518
00:00.0,9.73E-05,0.003494263
10:38.8,0.001745224,0.000227928
47:51.4,0.007980347,0.006507874
14:49.2,0.000220299,0.000195503
00:00.0,0.000941277,0.000403404
00:00.0,0.000164032,0.002605438
16:37.4,0.009399414,0.001953125
29:36.7,0.011978149,0.000254631
17:42.7,0.007568359,0.004646301
17:49.1,0.015716553,0.00528717
46:25.6,0.010940552,0
20:40.1,0,0.003612518
15:28.6,0,0
03:49.9,0.000198364,0.001716614
02:53.5,0,0.000231743
16:00.9,0.011001587,0
00:00.0,0.010772705,0.014846802
08:53.4,0.025604248,0.003368378
55:17.0,0.009887695,0.003791809
19:27.0,0.004943848,0.007263184
07:09.6,0.000247002,0.023345947
30:27.9,0.001293182,0
12:12.2,0,0
04:09.3,0.020385742,0.003620148
36:46.7,0,0.006500244
18:13.5,0.000378609,0
22:41.0,0.011978149,0.000254631
01:29.3,0.073486328,0.07421875
12:20.0,0.000890732,0.005210876
54:17.7,0.000611305,0
15:44.9,0.000427246,0.000292778
24:26.4,0,0.000231743
14:26.0,0.004882813,0.001823425
36:37.5,0,0.006500244
15:18.1,0.001745224,0.000227928
10:20.7,0.012466431,0
00:00.0,0.011825562,0.016906738
58:12.3,0.024536133,0.004394531
54:47.1,0.000611305,0
19:16.0,0.000228882,0.013046265
